city,state_id,state_name,county_name,lat,lng,timezone
Salida,CA,California,Stanislaus,37.7083,-121.0842,America/Los_Angeles
Corinth,MS,Mississippi,Alcorn,34.9474,-88.5143,America/Chicago
Livingston,CA,California,Merced,37.3875,-120.7248,America/Los_Angeles
Alamo,CA,California,Contra Costa,37.8548,-122.0136,America/Los_Angeles
Dallas,GA,Georgia,Paulding,33.9152,-84.8416,America/New_York
Kemp Mill,MD,Maryland,Montgomery,39.0412,-77.0215,America/New_York
Clarksdale,MS,Mississippi,Coahoma,34.1933,-90.5693,America/Chicago
Belvedere Park,GA,Georgia,DeKalb,33.7489,-84.2599,America/New_York
New Cassel,NY,New York,Nassau,40.7602,-73.5649,America/New_York
Scottsbluff,NE,Nebraska,Scotts Bluff,41.8684,-103.6616,America/Denver
Washington Court House,OH,Ohio,Fayette,39.5381,-83.4281,America/New_York
Short Hills,NJ,New Jersey,Essex,40.7389,-74.3278,America/New_York
Somerton,AZ,Arizona,Yuma,32.6007,-114.6994,America/Phoenix
Lindenhurst,IL,Illinois,Lake,42.4175,-88.0257,America/Chicago
Elizabethton,TN,Tennessee,Carter,36.3367,-82.2370,America/New_York
Moncks Corner,SC,South Carolina,Berkeley,33.1730,-80.0107,America/New_York
Dumas,TX,Texas,Moore,35.8613,-101.9642,America/Chicago
North New Hyde Park,NY,New York,Nassau,40.7460,-73.6876,America/New_York
Bainbridge,GA,Georgia,Decatur,30.9052,-84.5732,America/New_York
Shepherdsville,KY,Kentucky,Bullitt,37.9813,-85.7007,America/New_York
Ozark,AL,Alabama,Dale,31.4508,-85.6473,America/Chicago
Huron,SD,South Dakota,Beadle,44.3623,-98.2094,America/Chicago
Jacksonville,AL,Alabama,Calhoun,33.8088,-85.7545,America/Chicago
Covington,GA,Georgia,Newton,33.6049,-83.8463,America/New_York
Hershey,PA,Pennsylvania,Dauphin,40.2806,-76.6458,America/New_York
Latham,NY,New York,Albany,42.7427,-73.7497,America/New_York
Chesterton,IN,Indiana,Porter,41.5997,-87.0550,America/Chicago
Candelaria,PR,Puerto Rico,Toa Baja,18.4042,-66.2175,America/Puerto_Rico
Robbinsdale,MN,Minnesota,Hennepin,45.0261,-93.3332,America/Chicago
Bradley Gardens,NJ,New Jersey,Somerset,40.5711,-74.6678,America/New_York
Hobe Sound,FL,Florida,Martin,27.0729,-80.1425,America/New_York
Iona,FL,Florida,Lee,26.5160,-81.9601,America/New_York
New Kingman-Butler,AZ,Arizona,Mohave,35.2645,-114.0091,America/Phoenix
East Milton,FL,Florida,Santa Rosa,30.6175,-86.9636,America/Chicago
Pineville,LA,Louisiana,Rapides,31.3414,-92.4096,America/Chicago
Hidalgo,TX,Texas,Hidalgo,26.1090,-98.2464,America/Chicago
Athens,TN,Tennessee,McMinn,35.4573,-84.6045,America/New_York
Jefferson,GA,Georgia,Jackson,34.1373,-83.6021,America/New_York
West Freehold,NJ,New Jersey,Monmouth,40.2324,-74.2943,America/New_York
